cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
01004,Ambérieu-en-Bugey,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Ambérieu-en-Bugey,1
01007,Ambronay,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Ambronay,1
01014,Arbent,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Arbent,1
01017,Argis,60.0,Mouvement de Terrain,2012-03-01 00:00:00,2012-03-01 00:00:00,1,Argis,1
01021,Ars-sur-Formans,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Ars-sur-Formans,1
01027,Balan,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Balan,1
01030,Beauregard,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Beauregard,1
01033,Valserhône,60.0,Mouvement de Terrain,2018-01-05 00:00:00,2018-03-09 00:00:00,2,Valserhône,2
01033,Valserhône,60.0,Mouvement de Terrain,1983-07-06 00:00:00,1983-07-07 00:00:00,2,Valserhône,2
01053,Bourg-en-Bresse,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Bourg-en-Bresse,1
01058,Brégnier-Cordon,60.0,Mouvement de Terrain,2021-01-29 00:00:00,2021-01-29 00:00:00,1,Brégnier-Cordon,1
01060,Brénod,60.0,Mouvement de Terrain,1983-08-28 00:00:00,1983-08-28 00:00:00,1,Brénod,1
01098,Chazey-Bons,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Chazey-Bons,1
01109,Collonges,60.0,Mouvement de Terrain,2008-03-28 00:00:00,2008-03-29 00:00:00,1,Collonges,1
01156,Faramans,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Faramans,1
01157,Fareins,60.0,Mouvement de Terrain,1983-05-01 00:00:00,1983-05-31 00:00:00,1,Fareins,1
