cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
04001,Aiglun,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-07-11 00:00:00,1984-07-11 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-07-11 00:00:00,1984-07-11 00:00:00,9,Aiglun,5
04001,Aiglun,62.0,Secousse Sismique,1984-07-11 00:00:00,1984-07-11 00:00:00,9,Aiglun,5
04019,Barcelonnette,62.0,Secousse Sismique,2014-04-07 00:00:00,2014-04-07 00:00:00,1,Barcelonnette,1
04022,Barrême,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,1,Barrême,1
04046,Le Chaffaut-Saint-Jurson,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,4,Le Chaffaut-Saint-Jurson,4
04046,Le Chaffaut-Saint-Jurson,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,4,Le Chaffaut-Saint-Jurson,4
04046,Le Chaffaut-Saint-Jurson,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,4,Le Chaffaut-Saint-Jurson,4
04046,Le Chaffaut-Saint-Jurson,62.0,Secousse Sismique,1984-06-30 00:00:00,1984-06-30 00:00:00,4,Le Chaffaut-Saint-Jurson,4
04062,La Condamine-Châtelard,62.0,Secousse Sismique,2014-04-07 00:00:00,2014-04-07 00:00:00,1,La Condamine-Châtelard,1
04070,Digne-les-Bains,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,4,Digne-les-Bains,4
04070,Digne-les-Bains,62.0,Secousse Sismique,1984-06-19 00:00:00,1984-06-19 00:00:00,4,Digne-les-Bains,4
