cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
01053,Bourg-en-Bresse,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Bourg-en-Bresse,1
01148,Dortan,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Dortan,1
01183,Guéreins,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Guéreins,1
01241,Meillonnas,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Meillonnas,1
01263,Montmerle-sur-Saône,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Montmerle-sur-Saône,1
01289,Péronnas,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Péronnas,1
01386,Saint-Sorlin-en-Bugey,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Saint-Sorlin-en-Bugey,1
01426,Val-Revermont,57.0,Tempête,1983-07-24 00:00:00,1983-07-24 00:00:00,1,Val-Revermont,1
03001,Abrest,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Abrest,1
03002,Agonges,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Agonges,1
03003,Ainay-le-Château,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Ainay-le-Château,1
03004,Andelaroche,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Andelaroche,1
03005,Archignat,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Archignat,1
03006,Arfeuilles,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Arfeuilles,1
03007,Arpheuilles-Saint-Priest,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Arpheuilles-Saint-Priest,1
03008,Arronnes,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Arronnes,1
03009,Aubigny,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Aubigny,1
03010,Audes,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Audes,1
03011,Aurouër,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Aurouër,1
03012,Autry-Issards,57.0,Tempête,1982-11-06 00:00:00,1982-11-10 00:00:00,1,Autry-Issards,1
