cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris_inon,classe_ris_mouv,classe_ris_sech,classe_ris_seis,classe_ris_temp
01001,L'Abergement-Clémenciat,54.0,Inondations,2009-02-06 00:00:00,2009-02-07 00:00:00,2.0,L'Abergement-Clémenciat,1,0,0,0,0
01002,L'Abergement-de-Varey,54.0,Inondations,2000-06-14 00:00:00,2000-06-14 00:00:00,2.0,L'Abergement-de-Varey,1,0,0,0,0
01004,Ambérieu-en-Bugey,54.0,Inondations,2021-05-10 00:00:00,2021-05-11 00:00:00,4.0,Ambérieu-en-Bugey,2,1,2,0,0
01005,Ambérieux-en-Dombes,54.0,Inondations,1993-07-05 00:00:00,1993-07-06 00:00:00,2.0,Ambérieux-en-Dombes,1,0,0,0,0
01006,Ambléon,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,1.0,Ambléon,1,0,0,0,0
01007,Ambronay,54.0,Inondations,2021-05-10 00:00:00,2021-05-11 00:00:00,5.0,Ambronay,2,1,2,0,0
01008,Ambutrix,54.0,Inondations,1991-12-21 00:00:00,1991-12-24 00:00:00,2.0,Ambutrix,1,0,0,0,0
01009,Andert-et-Condon,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,1.0,Andert-et-Condon,1,0,0,0,0
01011,Apremont,54.0,Inondations,1983-04-30 00:00:00,1983-05-01 00:00:00,1.0,Apremont,1,0,0,0,0
01014,Arbent,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,3.0,Arbent,2,1,0,0,0
01015,Arboys en Bugey,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,1.0,Arboys en Bugey,1,0,0,0,0
01016,Arbigny,54.0,Inondations,1993-10-05 00:00:00,1993-10-10 00:00:00,7.0,Arbigny,3,0,1,0,0
01017,Argis,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,2.0,Argis,1,1,0,0,0
01021,Ars-sur-Formans,54.0,Inondations,1987-08-17 00:00:00,1987-08-17 00:00:00,3.0,Ars-sur-Formans,2,1,0,0,0
01022,Artemare,54.0,Inondations,2012-11-10 00:00:00,2012-11-11 00:00:00,3.0,Artemare,2,0,0,0,0
01023,Asnières-sur-Saône,54.0,Inondations,2001-03-20 00:00:00,2001-03-23 00:00:00,8.0,Asnières-sur-Saône,3,0,0,0,0
01025,Bâgé-Dommartin,54.0,Inondations,2016-06-24 00:00:00,2016-06-24 00:00:00,2.0,Bâgé-Dommartin,1,0,2,0,0
01026,Bâgé-le-Châtel,54.0,Inondations,1982-12-08 00:00:00,1982-12-31 00:00:00,1.0,Bâgé-le-Châtel,1,0,2,0,0
01027,Balan,54.0,Inondations,2000-07-10 00:00:00,2000-07-10 00:00:00,3.0,Balan,2,1,0,0,0
01028,Baneins,54.0,Inondations,1982-12-08 00:00:00,1982-12-31 00:00:00,2.0,Baneins,1,0,0,0,0
01030,Beauregard,54.0,Inondations,2001-03-20 00:00:00,2001-03-23 00:00:00,4.0,Beauregard,2,1,0,0,0
01031,Bellignat,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,1.0,Bellignat,1,0,0,0,0
01032,Béligneux,54.0,Inondations,2000-07-10 00:00:00,2000-07-10 00:00:00,2.0,Béligneux,1,0,0,0,0
01033,Valserhône,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,4.0,Valserhône,2,2,1,0,0
01034,Belley,54.0,Inondations,2001-07-28 00:00:00,2001-07-28 00:00:00,7.0,Belley,3,0,0,0,0
01036,Valromey-sur-Séran,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,1.0,Valromey-sur-Séran,1,0,0,0,0
01037,Bénonces,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,2.0,Bénonces,1,0,0,0,0
01038,Bény,54.0,Inondations,1991-11-13 00:00:00,1991-11-14 00:00:00,2.0,Bény,1,0,1,0,0
01039,Béon,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,2.0,,1,0,0,0,0
01041,Bettant,54.0,Inondations,1990-02-13 00:00:00,1990-02-18 00:00:00,2.0,Bettant,1,0,0,0,0
